ds;y
2009-08-03_13;1.691470468
2009-08-03_14;1.610804481
2009-08-03_15;1.512885947
2009-08-03_16;1.420682281
2009-08-03_17;1.410130346
2009-08-03_18;1.412535642
2009-08-03_19;1.349501018
2009-08-03_20;1.454820774
2009-08-03_21;1.496484725
2009-08-03_22;1.487193483
2009-08-03_23;1.343898167
2009-08-04_00;1.09401222
2009-08-04_01;0.757505092
2009-08-04_02;0.607741344
2009-08-04_03;0.533057026
2009-08-04_04;0.510503055
2009-08-04_05;0.520413442
2009-08-04_06;0.543694501
2009-08-04_07;0.602075356
2009-08-04_08;0.781942974
2009-08-04_09;0.980437882
2009-08-04_10;1.209323829
2009-08-04_11;1.351256619
2009-08-04_12;1.405621181
2009-08-04_13;1.575551935
2009-08-04_14;1.464936864
2009-08-04_15;1.343405295
2009-08-04_16;1.309221996
2009-08-04_17;1.514476578
2009-08-04_18;1.530769857
2009-08-04_19;1.35806721
2009-08-04_20;1.216539715
2009-08-04_21;1.431281059
2009-08-04_22;1.51108554
2009-08-04_23;1.508835031
2009-08-05_00;1.092565041
2009-08-05_01;0.754189024
2009-08-05_02;0.586388211
2009-08-05_03;0.541666667
2009-08-05_04;0.514971545
2009-08-05_05;0.499672764
2009-08-05_06;0.525392276
2009-08-05_07;0.614668699
2009-08-05_08;0.825359756
2009-08-05_09;1.104800813
2009-08-05_10;1.29854065
2009-08-05_11;1.309713415
2009-08-05_12;1.344676829
2009-08-05_13;1.467174797
2009-08-05_14;1.346164634
2009-08-05_15;1.240219512
2009-08-05_16;1.301993902
2009-08-05_17;1.37352439
2009-08-05_18;1.41502439
2009-08-05_19;1.281563008
2009-08-05_20;1.270867886
2009-08-05_21;1.33952439
2009-08-05_22;1.497711382
2009-08-05_23;1.467930894
2009-08-06_00;1.111002033
2009-08-06_01;0.764256098
2009-08-06_02;0.586065041
2009-08-06_03;0.52501626
2009-08-06_04;0.488107724
2009-08-06_05;0.48351626
2009-08-06_06;0.501512195
2009-08-06_07;0.563969512
2009-08-06_08;0.791410569
2009-08-06_09;1.075327236
2009-08-06_10;1.189979675
2009-08-06_11;1.227256098
2009-08-06_12;1.322585366
2009-08-06_13;1.37379065
2009-08-06_14;1.226833333
2009-08-06_15;1.24329065
2009-08-06_16;1.198485772
2009-08-06_17;1.372898374
2009-08-06_18;1.341160569
2009-08-06_19;1.290715447
2009-08-06_20;1.234493902
2009-08-06_21;1.348973577
2009-08-06_22;1.546802846
2009-08-06_23;1.448989837
2009-08-07_00;1.11221501
2009-08-07_01;0.785529412
2009-08-07_02;0.61162069
2009-08-07_03;0.550912779
2009-08-07_04;0.509501014
2009-08-07_05;0.496146045
2009-08-07_06;0.501419878
2009-08-07_07;0.600452333
2009-08-07_09;1.009200811
2009-08-07_10;1.220963489
2009-08-07_11;1.238801217
2009-08-07_12;1.307795132
2009-08-07_13;1.454681542
2009-08-07_14;1.339874239
2009-08-07_15;1.320947262
2009-08-07_16;1.201237323
2009-08-07_17;1.318521298
2009-08-07_18;1.373626775
2009-08-07_19;1.294693712
2009-08-07_21;1.298643002
2009-08-07_22;1.522866126
2009-08-07_23;1.431815416
2009-08-08_00;1.133803245
2009-08-08_01;0.837490872
2009-08-08_02;0.667496957
2009-08-08_03;0.584221095
2009-08-08_04;0.525643002
2009-08-08_05;0.526815416
2009-08-08_06;0.51989858
2009-08-08_07;0.566774848
2009-08-08_08;0.713498986
2009-08-08_09;1.033900609
2009-08-08_10;1.199219067
2009-08-08_11;1.285129817
2009-08-08_12;1.417054767
2009-08-08_13;1.465028398
2009-08-08_14;1.408724138
2009-08-08_15;1.397991886
2009-08-08_16;1.338330629
2009-08-08_17;1.302168357
2009-08-08_18;1.450517241
2009-08-08_19;1.503673428
2009-08-08_20;1.393381339
2009-08-08_21;1.414060852
2009-08-08_22;1.484192698
2009-08-08_23;1.352981744
2009-08-09_00;1.052294118
2009-08-09_02;0.658551724
2009-08-09_03;0.606821501
2009-08-09_04;0.567225152
2009-08-09_05;0.517188641
2009-08-09_06;0.505401623
2009-08-09_08;0.693298174
2009-08-09_09;0.938983773
2009-08-09_10;1.207691684
2009-08-09_11;1.503089249
2009-08-09_12;1.784941176
2009-08-09_13;1.956456389
2009-08-09_14;1.627713996
2009-08-09_15;1.409279919
2009-08-09_16;1.273756592
2009-08-09_17;1.15684787
2009-08-09_18;1.201421907
2009-08-09_19;1.260330629
2009-08-09_20;1.325557809
2009-08-09_21;1.44394929
2009-08-09_22;1.553004057
2009-08-09_23;1.304251521
2009-08-10_00;1.043904472
2009-08-10_01;0.767276423
2009-08-10_02;0.613215447
2009-08-10_03;0.554034553
2009-08-10_05;0.528792683
2009-08-10_06;0.521843496
2009-08-10_07;0.631144309
2009-08-10_08;0.799028455
2009-08-10_09;1.011012195
2009-08-10_10;1.207284553
2009-08-10_12;1.386270325
2009-08-10_13;1.540731707
2009-08-10_14;1.552262195
2009-08-10_15;1.47901626
2009-08-10_16;1.434058943
2009-08-10_17;1.555166667
2009-08-10_18;1.45145122
2009-08-10_19;1.41551626
2009-08-10_20;1.337711382
2009-08-10_21;1.452932927
2009-08-10_22;1.560882114
2009-08-10_23;1.406644309
2009-08-11_00;1.067599593
2009-08-11_01;0.794308943
2009-08-11_02;0.604849593
2009-08-11_03;0.55428252
